PLAYER,number_of_drafts,earliest_pick,latest_pick,25th_percentile,med_pick,75th_percentile,avg_pick,standard_deviation,pearson_second_skewness_coef
A.J. Green,964,10,28,11.0,20.0,22.0,17.470954356846473,5.320485568959221,-0.4753411338823069
Aaron Jones,857,66,141,103.0,110.0,117.0,109.03500583430572,10.852502501413682,-0.08891904568265019
Aaron Rodgers,957,0,47,32.0,34.0,37.0,34.29676071055381,4.930661471894137,0.060186794864221356
Adam Thielen,956,11,44,31.0,35.0,38.0,33.94142259414226,4.259724896516447,-0.24850839703837027
Adam Vinatieri,106,130,149,132.0,141.0,145.0,139.16981132075472,6.866719876973503,-0.26653026656621603
Adrian Peterson,885,50,119,81.0,85.0,88.0,84.24632768361582,7.692793578232706,-0.09797121276160989
Akeem Hunt,1,31,31,31.0,31.0,31.0,31.0,,
Alex Collins,958,20,47,31.0,35.0,37.0,33.84237995824635,4.18101388283999,-0.27687543600484993
Alex Smith,518,71,159,129.0,143.0,146.0,138.93822393822393,10.179816869718822,-0.39900286161908755
Alfred Morris,43,68,148,108.0,126.0,134.0,120.04651162790698,19.95584827559758,-0.298333014456372
Allen Hurns,752,99,155,125.0,130.0,143.0,133.89494680851064,10.574238272507927,0.3683430151784221
Allen Robinson,927,42,83,51.0,55.0,61.0,56.58576051779935,6.571827104316016,0.24129674938616535
Alshon Jeffery,882,50,104,84.0,88.0,95.0,87.97619047619048,7.996629539716073,-0.002977444896161061
Alvin Kamara,986,1,19,4.0,5.0,6.0,5.362068965517241,1.5821791113576849,0.2288419578530182
Amari Cooper,958,10,44,30.0,35.0,38.0,34.01461377870564,4.329649837921746,-0.2275902805496513
Ameer Abdullah,1,113,113,113.0,113.0,113.0,113.0,,
Andrew Luck,889,64,109,73.0,76.0,86.0,80.36332958380203,10.246271819480715,0.425845581756503
Andy Dalton,11,111,147,136.0,143.0,143.5,137.36363636363637,11.70702974518069,-0.48145121000345015
Anthony Miller,155,102,163,141.0,146.0,149.0,142.96129032258065,10.61785060975194,-0.2861887767217644
Antonio Brown,989,0,8,3.0,4.0,4.0,3.7401415571284127,1.1040119972458429,-0.23537646648754823
Arizona Defense,37,111,149,131.0,140.0,147.0,137.8108108108108,9.530179658554415,-0.22971121926585591
Atlanta Defense,5,141,149,143.0,147.0,147.0,145.4,3.2863353450309964,-0.48686449556014594
Austin Ekeler,17,115,148,129.0,137.0,143.0,135.8235294117647,9.41564717715707,-0.12494845719044073
Austin Hooper,9,103,148,124.0,129.0,137.0,128.44444444444446,12.390632662530908,-0.0448367384205921
Austin Seferian-Jenkins,2,142,143,142.25,142.5,142.75,142.5,0.7071067811865476,0.0
Baltimore Defense,841,88,149,115.0,122.0,126.0,121.65279429250891,7.601113321761037,-0.04567827011565247
Ben Roethlisberger,851,70,146,111.0,114.0,118.0,113.76498237367802,7.904503293896358,-0.029732118209559195
Benjamin Watson,5,135,148,136.0,137.0,147.0,140.6,6.348228099241551,0.5670873736295174
Bilal Powell,714,88,161,125.0,129.0,143.0,132.92296918767508,11.542273257767446,0.3398783844452038
Blake Bortles,2,142,149,143.75,145.5,147.25,145.5,4.949747468305833,0.0
Bo Scarbrough,1,50,50,50.0,50.0,50.0,50.0,,
Brandin Cooks,934,32,78,49.0,54.0,57.0,53.53319057815846,5.14239582542781,-0.09077664141163305
Brandon McManus,2,140,149,142.25,144.5,146.75,144.5,6.363961030678928,0.0
Buffalo Defense,1,101,101,101.0,101.0,101.0,101.0,,
CJ Anderson,704,92,158,126.0,140.0,144.0,134.53125,10.613426673172027,-0.5152671392947551
Calvin Ridley,844,41,158,113.0,121.0,124.0,120.45260663507109,9.492777067206951,-0.057664196794412544
Cam Newton,904,20,88,65.0,69.0,77.0,70.57300884955752,7.017868462610574,0.22414339310263756
Cameron Meredith,90,110,159,142.0,145.0,149.0,143.63333333333333,8.66018916678466,-0.15781025568221946
Carlos Hyde,927,30,81,52.0,54.0,58.0,55.26860841423948,6.057510243558376,0.20942736590310068
Carolina Defense,296,121,170,132.0,137.0,147.0,139.00675675675674,7.388490014878155,0.27160580209430485
Carson Wentz,896,37,105,72.0,75.0,78.0,76.08482142857143,7.1119973835568215,0.15253400276546422
Case Keenum,2,119,149,126.5,134.0,141.5,134.0,21.213203435596427,0.0
Cedrick Wilson,1,70,70,70.0,70.0,70.0,70.0,,
Chad Henne,1,29,29,29.0,29.0,29.0,29.0,,
Chase Edmonds,1,122,122,122.0,122.0,122.0,122.0,,
Chicago Defense,64,109,148,131.0,138.0,146.0,137.328125,8.96386872172487,-0.07495368583116807
Chris Boswell,513,121,149,131.0,134.0,143.0,137.02729044834308,6.512250765042999,0.4648608534230933
Chris Carson,897,34,86,66.0,71.0,77.0,70.74581939799332,7.933881826001295,-0.032037356691357766
Chris Godwin,198,54,159,138.0,146.0,149.0,141.52020202020202,12.085024334148038,-0.3706900255996707
Chris Hogan,947,28,59,40.0,43.0,45.0,41.96937697993664,6.503545295335142,-0.158470952882054
Chris Ivory,2,147,149,147.5,148.0,148.5,148.0,1.4142135623730951,0.0
Chris Thompson,890,50,99,73.0,80.0,82.0,77.90337078651686,6.2650215332226935,-0.33465634593033006
Chris Warren III,1,109,109,109.0,109.0,109.0,109.0,,
Christian Kirk,1,99,99,99.0,99.0,99.0,99.0,,
Christian McCaffrey,971,6,19,15.0,17.0,18.0,15.977342945417096,2.5268662685168404,-0.40471356451449997
Christine Michael,1,136,136,136.0,136.0,136.0,136.0,,
Cleveland Defense,11,130,149,132.0,143.0,146.5,140.36363636363637,7.61935334884434,-0.3460088429634904
Cody Parkey,1,149,149,149.0,149.0,149.0,149.0,,
Cole Beasley,3,120,137,123.5,127.0,132.0,128.0,8.54400374531753,0.11704114719613057
Cooper Kupp,886,50,99,81.0,86.0,89.0,84.83182844243792,9.152440472164976,-0.12763498010337226
Corey Clement,336,84,166,140.0,145.0,147.0,140.8125,11.56024937757148,-0.3622326701813494
Corey Davis,915,34,82,54.0,61.0,66.0,61.1551912568306,8.097596885432162,0.019165100341039704
Courtland Sutton,10,104,149,126.0,133.5,145.75,132.9,15.16904743218901,-0.039554230592409034
D.J. Moore,733,87,158,126.0,139.0,143.0,134.19781718963165,10.751052592227966,-0.4466709440003942
Dak Prescott,25,0,155,124.0,137.0,148.0,130.2,30.419292124132895,-0.2235423484626484
Dallas Defense,5,20,135,130.0,130.0,134.0,109.8,50.25136814057902,-0.40197910519550784
Dallas Goedert,4,113,144,136.25,144.0,144.0,136.25,15.5,-0.5
Dalvin Cook,971,7,22,13.0,15.0,16.0,14.637487126673532,2.1395624055411986,-0.16943318521002465
Dan Bailey,610,10,155,132.0,134.0,143.0,136.67377049180328,8.051158299503237,0.3320976178009387
Daniel Carlson,170,130,149,131.0,134.5,144.0,137.43529411764706,6.767389712618181,0.433740961034657
Danny Amendola,15,120,160,136.0,145.0,148.5,141.66666666666666,10.390013520317524,-0.3208208850561221
Darren Carrington,1,140,140,140.0,140.0,140.0,140.0,,
Davante Adams,967,10,24,11.0,13.0,15.0,13.678386763185108,3.3080268592003703,0.2050729308011393
David Johnson,993,0,6,2.0,2.0,3.0,2.1973816717019132,1.0166522744396986,0.19414865501648043
David Njoku,851,51,146,96.0,114.0,122.5,108.46886016451234,18.85716979557766,-0.2933176025590444
DeAndre Hopkins,984,1,19,6.0,7.0,8.0,7.171747967479675,2.703747181874695,0.06352219935023294
DeSean Jackson,1,128,128,128.0,128.0,128.0,128.0,,
DeVante Parker,18,127,158,130.0,136.5,145.5,138.22222222222223,9.187943222157763,0.18744371624640596
Dede Westbrook,21,112,164,136.0,141.0,146.0,140.66666666666666,10.808946911393974,-0.030838650246488675
Delanie Walker,899,40,121,70.0,75.0,78.0,75.07452725250278,8.278827388783784,0.009002150788135271
Demarcus Robinson,1,81,81,81.0,81.0,81.0,81.0,,
Demaryius Thomas,946,29,69,44.0,46.0,49.0,46.89640591966173,6.301242657332699,0.14225859380587286
Denver Defense,814,109,149,126.0,129.0,136.0,130.6879606879607,6.701392524300478,0.2518820800064825
Deonte Thompson,1,90,90,90.0,90.0,90.0,90.0,,
Derek Carr,246,100,159,141.0,146.0,148.0,142.869918699187,8.961559038556096,-0.34927865646436984
Derrick Henry,945,21,59,41.0,43.0,46.0,42.93015873015873,6.845865886922354,-0.010201962906502047
Deshaun Watson,942,0,63,45.0,47.0,55.0,48.50636942675159,6.808716500650242,0.2212413200942835
Detroit Defense,1,144,144,144.0,144.0,144.0,144.0,,
Devin Funchess,875,60,117,91.0,94.0,97.0,93.41942857142857,5.840075948759863,-0.09941162301060753
Devonta Freeman,964,10,26,11.0,13.0,20.0,14.403526970954356,4.482344273385221,0.31312342054760656
Devontae Booker,7,125,150,129.5,137.0,145.5,137.42857142857142,10.04750620564033,0.04265450747677378
Dion Lewis,923,40,82,52.0,55.0,62.0,57.36728060671722,6.766839833980479,0.34983547191846426
Donta Foreman,2,128,128,128.0,128.0,128.0,128.0,0.0,
Doug Baldwin,954,20,49,31.0,34.0,38.0,34.924528301886795,4.502601094791809,0.20533204750387582
Doug Martin,2,138,143,139.25,140.5,141.75,140.5,3.5355339059327378,0.0
Drew Brees,912,41,82,61.0,64.0,68.0,64.69956140350877,6.940683275436554,0.10079143158492072
Duke Johnson,869,71,143,92.0,97.0,107.0,99.9608745684695,9.646079749503837,0.30695107705509117
Eddy Pineiro,1,144,144,144.0,144.0,144.0,144.0,,
Eli Manning,16,116,165,130.0,137.0,146.0,137.4375,12.4631122383884,0.03510359143299932
Elijhaa Penny,1,141,141,141.0,141.0,141.0,141.0,,
Emmanuel Sanders,917,40,84,53.0,60.0,65.0,59.538713195201744,7.519978897696567,-0.06134150255920957
Eric Ebron,24,105,163,126.25,134.0,139.25,132.83333333333334,13.460624272191147,-0.08667255270447757
Evan Engram,909,46,119,66.0,69.0,76.0,70.74697469746975,7.6518262612672405,0.22830820222784717
Ezekiel Elliott,980,0,19,2.0,6.0,8.0,5.8244897959183675,4.627471842553347,-0.03792788158485898
Frank Gore,4,142,146,145.0,146.0,146.0,145.0,2.0,-0.5
George Kittle,110,80,157,120.0,132.0,145.0,130.5090909090909,17.527826084240058,-0.08505955523198812
Geronimo Allison,81,106,164,135.0,147.0,150.0,142.0,12.145986991595208,-0.41165859995238796
Giorgio Tavecchio,1,148,148,148.0,148.0,148.0,148.0,,
Giovani Bernard,85,101,156,129.0,140.0,146.0,136.7058823529412,12.733367797334093,-0.25869963857860767
Golden Tate,937,30,75,45.0,48.0,54.0,48.72892209178229,6.089007382941994,0.11971115256393365
Graham Gano,10,130,148,142.0,145.0,147.0,143.5,5.482294734466175,-0.2736080551397167
Greg Olsen,925,22,96,53.0,55.0,61.0,56.51783783783784,5.510807531478453,0.2754292958278347
Greg Zuerlein,831,7,139,137.0,138.0,139.0,134.80385078219012,9.684855129972291,-0.3300151809105088
Harrison Butker,521,120,149,131.0,134.0,141.0,135.96353166986563,5.893331809003658,0.3331785369467583
Houston Defense,837,100,148,120.0,124.0,128.0,123.95221027479091,7.700283379719244,-0.006206229414225528
Isaiah Crowell,875,44,122,90.0,95.0,99.0,95.68685714285715,8.174036508008731,0.08402912590177243
Jack Doyle,518,72,159,125.0,142.0,146.0,134.22586872586874,16.76695269934857,-0.4636579713398551
Jacksonville Defense,875,50,105,92.0,95.0,98.0,93.63885714285715,6.23600298638149,-0.21827168141442313
Jake Elliott,735,119,149,132.0,134.0,137.0,135.33061224489796,5.072587710667127,0.2623142902191368
Jamaal Williams,907,39,85,62.0,66.0,73.0,66.61080485115767,8.508119360167901,0.07179081831141743
Jameis Winston,28,123,168,142.0,147.5,149.0,144.64285714285714,9.530513513483303,-0.29978897287126405
James Conner,26,93,149,130.0,140.0,147.0,134.30769230769232,15.637823968236068,-0.36400893780810134
James Washington,2,122,139,126.25,130.5,134.75,130.5,12.020815280171307,0.0
James White,858,69,149,102.0,111.0,116.0,108.42540792540792,10.423009177383264,-0.24701043919050225
Jamison Crowder,882,57,99,80.0,85.0,88.0,84.1984126984127,8.007536020457886,-0.10010411436668977
Jamize Olawale,1,40,40,40.0,40.0,40.0,40.0,,
Jared Cook,3,98,122,99.0,100.0,111.0,106.66666666666667,13.316656236958787,0.5006261743217592
Jared Goff,825,92,150,121.0,124.0,129.0,126.14424242424242,10.047812588082882,0.21340390313266594
Jarvis Landry,949,23,59,32.0,38.0,42.0,37.385669125395154,5.766998822789206,-0.10652522975680535
Jay Ajayi,937,11,69,46.0,51.0,56.0,50.961579509071505,6.3498954213010474,-0.0060505706597326235
Jeremy Hill,1,127,127,127.0,127.0,127.0,127.0,,
Jerick McKinnon,960,10,39,26.0,28.0,34.0,29.233333333333334,5.451246935572586,0.22624792967735702
Jimmy Garoppolo,883,59,119,74.0,90.0,102.0,89.12910532276331,13.501292538829505,-0.06450454093428552
Jimmy Graham,935,30,69,47.0,53.0,57.0,51.985026737967914,6.016197833772367,-0.16870676298815498
Joe Mixon,963,10,39,22.0,24.0,25.0,23.11111111111111,4.806560735393458,-0.18493241588387546
John Brown,813,83,157,121.0,125.0,129.0,126.30381303813039,9.995439734803858,0.13044078827172986
John Kelly,2,120,140,125.0,130.0,135.0,130.0,14.142135623730951,0.0
John Ross,31,101,155,127.5,136.0,144.0,135.3548387096774,11.603299493669246,-0.05560153736224687
Johnny Mundt,1,53,53,53.0,53.0,53.0,53.0,,
Jon Baldwin,1,41,41,41.0,41.0,41.0,41.0,,
Jordan Howard,964,10,27,11.0,15.0,21.0,16.435684647302903,5.209725353979514,0.2755777991648326
Jordan Lynch,1,101,101,101.0,101.0,101.0,101.0,,
Jordan Reed,880,52,125,74.0,85.0,107.0,89.78863636363636,16.957911036336696,0.28238362339414735
Jordan Wilkins,44,91,167,133.0,146.0,149.25,140.63636363636363,14.417513427983648,-0.3720222901423371
Jordy Nelson,869,53,119,92.0,100.0,104.0,99.06098964326813,7.808314688980631,-0.12025775012078277
Josh Brown,1,145,145,145.0,145.0,145.0,145.0,,
Josh Doctson,6,117,148,120.25,125.5,142.75,130.5,13.86722755275906,0.36056233886529016
Josh Gordon,945,25,59,42.0,45.0,47.0,44.77777777777778,6.282148953998623,-0.035373599678940396
Josh Lambo,1,130,130,130.0,130.0,130.0,130.0,,
JuJu Smith-Schuster,950,25,59,33.0,41.0,44.0,39.68736842105263,6.545789790716576,-0.20053066488767773
Julian Edelman,903,44,99,65.0,70.0,78.0,70.47619047619048,8.460108432838547,0.05628656889811394
Julio Jones,969,4,19,14.0,16.0,17.0,15.432404540763674,2.3065265147945806,-0.24608234745867477
Justin Tucker,828,78,145,135.0,137.0,138.0,135.77173913043478,4.836111979241007,-0.25397692916076464
Kansas City Defense,1,133,133,133.0,133.0,133.0,133.0,,
Kareem Hunt,973,4,19,15.0,17.0,18.0,15.721479958890031,3.7550406546076673,-0.3404810117145192
Keelan Cole,852,42,148,111.0,114.0,120.0,114.98474178403755,8.035380170274287,0.12255073974974587
Keenan Allen,968,9,25,12.0,13.0,15.0,13.541322314049587,2.7570248917653744,0.1963429186535086
Kelvin Benjamin,857,82,146,110.0,114.0,117.0,113.561260210035,6.035819273128201,-0.07268935170380132
Kenny Golladay,508,100,158,129.0,143.0,147.0,139.4448818897638,9.82403933731995,-0.3618794660899702
Kenny Stills,858,70,129,107.0,113.0,116.0,111.32983682983684,6.86115477021269,-0.24342304263621653
Kenyan Drake,954,10,46,32.0,34.0,37.0,34.556603773584904,3.929259493076422,0.14165615036768914
Kerryon Johnson,911,39,84,60.0,64.0,69.0,64.13501646542261,8.495790358666456,0.015892160672830214
Kirk Cousins,892,45,105,72.0,75.0,79.0,77.49887892376681,7.956179006023965,0.31408027922383364
Krishawn Hogan,2,91,91,91.0,91.0,91.0,91.0,0.0,
Kyle Rudolph,903,30,119,68.0,73.0,77.0,73.28571428571429,8.520633994860617,0.03353204537204929
LA Chargers Defense,854,95,139,112.0,115.0,119.0,115.68735362997658,5.7986459408223014,0.11853691999672453
LA Rams Defense,869,40,119,93.0,100.0,102.0,98.31300345224396,5.976226236027349,-0.2822845858120419
Lamar Miller,950,26,59,32.0,36.0,42.0,37.28,5.503281902330886,0.23258848496528298
Larry Fitzgerald,955,0,48,32.0,34.0,38.0,34.57696335078534,4.1404955690539795,0.13934644806712496
Larry Rose,1,134,134,134.0,134.0,134.0,134.0,,
Latavius Murray,612,85,158,126.0,141.0,145.0,135.01797385620915,12.822775505538436,-0.4665157041240471
LeGarrette Blount,26,70,148,117.75,133.5,144.0,128.73076923076923,18.522543437244664,-0.25748249884737345
LeSean McCoy,958,13,45,28.0,34.0,37.0,32.90292275574113,4.869667253537072,-0.22528792772483788
LeVeon Bell,997,0,5,0.0,1.0,1.0,0.8756268806419257,0.7969430381298865,-0.15606274652944999
Leonard Fournette,976,4,19,8.0,9.0,18.0,12.248975409836065,5.109116936635451,0.6359172142917597
Marcus Baugh,1,124,124,124.0,124.0,124.0,124.0,,
Marcus Mariota,497,2,157,131.0,143.0,146.0,139.32997987927564,11.63506616729515,-0.31542752468742885
Mark Ingram,942,21,65,43.0,47.0,54.0,47.74203821656051,7.042780710384461,0.10536153929461217
Marlon Mack,865,54,128,93.0,100.0,110.0,101.92601156069364,10.329707290538272,0.18645364350815746
Marquise Goodwin,938,30,68,46.0,49.0,56.0,50.37420042643923,6.048863256175509,0.2271832521649846
Marshawn Lynch,928,30,79,51.0,54.0,57.0,54.091594827586206,5.699903899685277,0.01606953892525519
Martavis Bryant,9,116,149,134.0,135.0,144.0,135.33333333333334,10.908712114635714,0.030556616567607914
Marvin Jones,913,43,86,60.0,64.0,68.0,63.77327491785323,8.328248530353097,-0.027223621067557005
Mason Crosby,545,100,150,131.0,134.0,144.0,137.38715596330275,6.859315007675897,0.4938038214475292
Matt Breida,51,71,153,115.0,133.0,144.5,129.07843137254903,17.44000359776901,-0.2248605400490071
Matt Bryant,746,117,152,132.0,134.0,137.0,135.23458445040214,4.5695149348523225,0.27017844738525576
Matt Cassel,1,114,114,114.0,114.0,114.0,114.0,,
Matt Prater,466,80,149,131.0,134.0,143.0,137.02789699570815,7.0449611885735095,0.4297961216052132
Matt Ryan,858,70,128,107.0,113.0,117.0,111.4895104895105,7.948962460231663,-0.1900234801769947
Matt Weiser,1,120,120,120.0,120.0,120.0,120.0,,
Matthew Stafford,872,65,124,93.0,103.0,107.0,99.32798165137615,13.077276162654657,-0.2807938215077382
Melvin Gordon,982,3,19,7.0,8.0,9.0,8.667006109979633,3.9298267422653113,0.16972913915160134
Michael Crabtree,896,50,99,68.0,74.0,80.0,73.44196428571429,8.091031115819467,-0.06896966607811517
Michael Gallup,677,75,159,127.0,141.0,144.0,136.24815361890694,10.878179001586961,-0.4368236981943244
Michael Thomas,968,7,22,13.0,14.0,15.0,14.069214876033058,2.2862302174864806,0.03027467466034728
Mike Evans,961,10,39,22.0,24.0,26.0,23.985431841831424,4.457881135064062,-0.003267955723177073
Mike Gesicki,2,125,132,126.75,128.5,130.25,128.5,4.949747468305833,0.0
Mike Williams,866,66,122,99.25,104.0,107.0,102.55427251732101,8.000140836309882,-0.1807127539701965
Minnesota Defense,866,85,119,101.25,104.0,106.0,104.23210161662817,5.352580013744303,0.04336256833754611
Mitch Trubisky,2,147,149,147.5,148.0,148.5,148.0,1.4142135623730951,0.0
Mohamed Sanu,6,116,147,132.25,145.0,145.75,137.83333333333334,12.859497138950132,-0.5573053587732867
Nelson Agholor,872,66,119,92.0,95.0,101.0,96.06536697247707,5.994761785619567,0.17771631477212366
New England Defense,306,111,149,132.0,136.0,146.0,138.140522875817,7.167997529168345,0.29862215592383845
New Orleans Defense,711,110,153,131.0,134.0,138.0,134.60618846694797,7.008418757460425,0.08649432745477503
Nick Chubb,459,89,158,132.0,143.0,146.0,138.64705882352942,11.528853449264192,-0.37756930432213953
Noah Brown,1,130,130,130.0,130.0,130.0,130.0,,
Nyheim Hines,1,130,130,130.0,130.0,130.0,130.0,,
O.J. Howard,20,40,161,119.75,126.0,138.0,124.5,24.41634482752982,-0.061434256871598814
Odell Beckham Jr,972,3,19,9.0,17.0,18.0,14.13888888888889,4.7759535419442125,-0.5990659427449956
Pat Mahomes,852,67,148,111.0,114.0,120.0,114.30281690140845,8.142955491444626,0.037187591375957056
Paul Richardson,1,144,144,144.0,144.0,144.0,144.0,,
Peyton Barber,894,46,99,70.0,76.0,81.0,75.32326621923937,7.278769697691134,-0.09297364923845466
Pharoh Cooper,2,128,148,133.0,138.0,143.0,138.0,14.142135623730951,0.0
Philadelphia Defense,860,90,139,107.0,112.0,117.0,111.82093023255814,6.212048758174666,-0.028826201211993863
Philip Rivers,859,69,127,104.0,108.0,116.0,107.31431897555296,10.972371207998206,-0.06249159925861919
Pierre Garcon,860,66,126,105.0,109.0,116.0,109.52906976744185,7.7417779628063865,0.06833956876361598
Pittsburgh Defense,195,90,149,132.0,135.0,147.0,138.17948717948718,8.077816750025946,0.3936072428824249
Randall Cobb,875,55,107,92.0,95.0,97.0,94.03542857142857,5.171420949678225,-0.18651961191274696
Rashaad Penny,880,63,117,85.0,88.0,94.25,89.24431818181819,6.614225334947891,0.1881275763683957
Rex Burkhead,906,45,85,63.0,67.0,74.0,67.67328918322296,8.146537318044501,0.082647283985508
Ricky Seals-Jones,8,89,169,121.25,135.0,143.75,131.5,24.830856380145825,-0.14095365646746355
Rishard Matthews,2,127,133,128.5,130.0,131.5,130.0,4.242640687119285,0.0
Rob Gronkowski,964,10,39,16.0,21.0,23.0,19.400414937759336,5.220520242595445,-0.30640338278727
Robbie Gould,319,130,152,131.0,140.0,145.0,138.63009404388714,6.961789488645122,-0.1967749755069749
Robby Anderson,880,46,102,88.0,94.0,97.0,91.96022727272727,6.721639782001287,-0.30346355851063117
Robert Woods,866,51,126,102.0,106.0,112.0,106.27598152424942,8.29116393062601,0.033286222122565066
Roberto Aguayo,4,103,146,131.5,143.0,145.25,133.75,20.61350689879494,-0.4487349020918295
Ronald Jones II,824,58,158,120.0,124.0,128.0,124.02305825242719,11.022045835616673,0.0020920120249074306
Royce Freeman,957,11,42,27.0,32.0,37.0,31.670846394984327,5.4326724098726675,-0.06058778814226123
Russell Wilson,918,20,79,53.0,60.0,63.0,58.80065359477124,6.683735659349502,-0.17944252531158394
Ryan Grant,1,149,149,149.0,149.0,149.0,149.0,,
Ryan Torain,1,145,145,145.0,145.0,145.0,145.0,,
Sam Darnold,2,140,148,142.0,144.0,146.0,144.0,5.656854249492381,0.0
Sammy Watkins,872,49,113,92.0,94.0,98.0,94.90252293577981,5.573299728320797,0.16193690986932419
Saquon Barkley,987,0,19,4.0,5.0,6.0,4.933130699088146,1.7672897352317172,-0.03783720324901148
Seattle Defense,2,134,134,134.0,134.0,134.0,134.0,0.0,
Sebastian Janikowski,1,130,130,130.0,130.0,130.0,130.0,,
Sony Michel,882,62,119,84.0,86.0,89.0,86.94557823129252,6.607822880347959,0.14309981493370813
Spencer Ware,2,106,136,113.5,121.0,128.5,121.0,21.213203435596427,0.0
Stefon Diggs,961,10,39,23.0,25.0,27.0,25.607700312174817,4.237862941400259,0.1433978211607813
Stephen Gostkowski,828,74,139,136.0,137.0,138.0,135.4746376811594,6.355687299857693,-0.23999958570566335
Sterling Shepard,863,64,123,104.0,107.0,115.0,107.6720741599073,8.19216683381198,0.08203863196894477
T.Y. Hilton,961,10,39,25.0,27.0,28.0,27.255983350676377,4.507057902119279,0.05679610873337361
TJ Yeldon,3,107,139,116.0,125.0,132.0,123.66666666666667,16.041612554021285,-0.08311716349233798
Tarik Cohen,883,40,117,83.0,86.0,89.0,86.65911664779162,6.742291652285083,0.09775854884121396
Tavon Austin,1,110,110,110.0,110.0,110.0,110.0,,
Taywan Taylor,1,145,145,145.0,145.0,145.0,145.0,,
Ted Ginn Jr,1,149,149,149.0,149.0,149.0,149.0,,
Terrance Williams,1,80,80,80.0,80.0,80.0,80.0,,
Tevin Coleman,886,51,99,75.0,81.0,83.0,79.2686230248307,6.255941150915491,-0.2767572349870856
Theo Riddick,15,108,150,135.5,140.0,147.0,138.53333333333333,11.60582776432763,-0.12637329249144152
Tim Cook,1,61,61,61.0,61.0,61.0,61.0,,
Todd Gurley,998,0,4,0.0,0.0,1.0,0.7074148296593187,0.8370586190079448,0.8451198202794019
Tom Brady,934,18,68,51.0,55.0,58.0,53.77408993576017,5.118042081139473,-0.23952715605005184
Tra Carson,1,131,131,131.0,131.0,131.0,131.0,,
Travis Kelce,960,10,40,26.0,28.0,29.0,29.115625,5.254539288412674,0.21231642562083058
Trey Burton,916,40,101,60.0,64.0,66.0,63.125545851528386,7.083310811438903,-0.12345274289805973
Ty Montgomery,542,70,158,128.25,142.0,146.0,137.50922509225092,11.936326284309843,-0.3762275595341386
Tyler Eifert,44,82,162,111.5,128.5,140.0,126.75,19.658863910016727,-0.08901836891542483
Tyler Lockett,553,38,156,129.0,142.0,146.0,137.99638336347198,12.306030744856194,-0.3253377729615617
Tyreek Hill,963,10,39,21.0,22.0,24.0,21.345794392523363,4.562781101446687,-0.14337869666138775
Tyrell Williams,7,138,140,140.0,140.0,140.0,139.71428571428572,0.7559289460184544,-0.37796447300921654
Tyrod Taylor,2,136,138,136.5,137.0,137.5,137.0,1.4142135623730951,0.0
Vernon Davis,2,139,149,141.5,144.0,146.5,144.0,7.0710678118654755,0.0
Wayne Gallman,1,149,149,149.0,149.0,149.0,149.0,,
Wil Lutz,803,123,149,132.0,134.0,136.0,134.74844333748445,3.5654174284530877,0.2099174507623276
Will Fuller,891,37,99,72.0,80.0,84.0,77.84399551066218,8.392031759452845,-0.2569109068145838
Zach Ertz,953,20,49,32.0,40.0,42.0,37.34102833158447,5.292710004669083,-0.5023837818565272
