,PLAYER,POS,PROJECTION
0,Le'Veon Bell,RB,351.8
1,Todd Gurley II,RB,329.4
2,David Johnson,RB,325.4
3,Antonio Brown,WR,322.2
4,Tom Brady,QB,317.0
5,Aaron Rodgers,QB,316.2
6,Cam Newton,QB,302.9
7,Ezekiel Elliott,RB,302.8
8,Russell Wilson,QB,294.0
9,Julio Jones,WR,291.9
10,Alvin Kamara,RB,290.8
11,Alex Smith,QB,288.3
12,Andrew Luck,QB,287.2
13,Carson Wentz,QB,284.2
14,Saquon Barkley,RB,281.6
15,DeAndre Hopkins,WR,281.2
16,Keenan Allen,WR,278.9
17,Matthew Stafford,QB,278.8
18,Michael Thomas,WR,278.5
19,Deshaun Watson,QB,278.1
20,Kirk Cousins,QB,278.0
21,Odell Beckham Jr.,WR,277.8
22,Ben Roethlisberger,QB,275.7
23,Philip Rivers,QB,273.5
24,Matt Ryan,QB,273.0
25,Drew Brees,QB,272.4
26,Patrick Mahomes,QB,271.6
27,Marcus Mariota,QB,269.8
28,A.J. Green,WR,267.1
29,Dalvin Cook,RB,265.2
30,Mitchell Trubisky,QB,264.2
31,Jimmy Garoppolo,QB,263.5
32,Melvin Gordon,RB,263.5
33,Christian McCaffrey,RB,262.6
34,Jared Goff,QB,259.9
35,Leonard Fournette,RB,258.2
36,Kareem Hunt,RB,258.2
37,Andy Dalton,QB,254.4
38,Ryan Tannehill,QB,254.1
39,LeSean McCoy,RB,253.9
40,Blake Bortles,QB,253.7
41,Dak Prescott,QB,253.3
42,Davante Adams,WR,253.1
43,Rob Gronkowski,TE,251.4
44,Derek Carr,QB,251.0
45,Case Keenum,QB,247.7
46,Eli Manning,QB,242.1
47,Tyrod Taylor,QB,242.0
48,T.Y. Hilton,WR,241.9
49,Larry Fitzgerald,WR,241.3
50,Adam Thielen,WR,237.8
51,Devonta Freeman,RB,234.4
52,Jameis Winston,QB,233.8
53,Mike Evans,WR,233.6
54,Tyreek Hill,WR,231.0
55,Jerick McKinnon,RB,229.6
56,Stefon Diggs,WR,228.3
57,Demaryius Thomas,WR,227.0
58,Doug Baldwin,WR,225.0
59,Amari Cooper,WR,222.4
60,Allen Robinson,WR,220.1
61,Travis Kelce,TE,217.5
62,Golden Tate,WR,217.0
63,Zach Ertz,TE,213.3
64,Jarvis Landry,WR,209.6
65,Joe Mixon,RB,207.1
66,Marvin Jones Jr.,WR,205.4
67,Royce Freeman,RB,203.0
68,Jordan Howard,RB,201.4
69,Joe Flacco,QB,201.3
70,Kenyan Drake,RB,201.2
71,Josh Gordon,WR,201.1
72,JuJu Smith-Schuster,WR,199.9
73,Chris Hogan,WR,199.0
74,Corey Davis,WR,196.7
75,Brandin Cooks,WR,196.5
76,Michael Crabtree,WR,195.3
77,Alshon Jeffery*,WR,193.9
78,Sam Darnold,QB,193.5
79,Marquise Goodwin,WR,191.3
80,Emmanuel Sanders,WR,190.7
81,Robert Woods,WR,190.6
82,Pierre Garcon,WR,190.5
83,Randall Cobb,WR,189.8
84,Sterling Shepard,WR,188.2
85,Sammy Watkins,WR,188.1
86,Robby Anderson,WR,187.6
87,Devin Funchess,WR,186.5
88,Jamison Crowder,WR,185.9
89,Alex Collins,RB,185.6
90,Greg Olsen,TE,185.5
91,Derrick Henry,RB,185.5
92,Cooper Kupp,WR,185.0
93,Jordy Nelson,WR,184.9
94,Evan Engram,TE,183.9
95,Delanie Walker,TE,183.7
96,Jordan Reed,TE,181.2
97,Kenny Stills,WR,178.9
98,Kelvin Benjamin,WR,178.4
99,Marshawn Lynch,RB,176.9
100,Mark Ingram II,RB,175.5
101,Will Fuller V,WR,173.8
102,Rex Burkhead,RB,173.1
103,Dion Lewis,RB,172.4
104,Mohamed Sanu,WR,172.3
105,Lamar Miller,RB,170.8
106,Josh Doctson,WR,170.0
107,Jay Ajayi,RB,169.7
108,DeVante Parker,WR,169.2
109,Jimmy Graham,TE,167.8
110,Nelson Agholor,WR,167.2
111,Jack Doyle,TE,166.7
112,Duke Johnson Jr.,RB,166.7
113,Kyle Rudolph,TE,164.3
114,Tevin Coleman,RB,163.6
115,Tarik Cohen,RB,161.0
116,Allen Hurns,WR,160.3
117,Isaiah Crowell,RB,160.2
118,Julian Edelman,WR,159.5
119,Kenny Golladay,WR,158.9
120,Chris Thompson,RB,157.2
121,Keelan Cole,WR,152.7
122,Kerryon Johnson,RB,150.7
123,Chris Boswell,K,147.7
124,Greg Zuerlein,K,147.6
125,Paul Richardson,WR,147.1
126,John Ross,WR,146.7
127,Tyler Lockett,WR,146.5
128,James White,RB,146.2
129,Stephen Gostkowski,K,145.8
130,Rishard Matthews,WR,145.4
131,Carlos Hyde,RB,145.3
132,Danny Amendola,WR,144.8
133,Marlon Mack,RB,144.4
134,Cameron Meredith,WR,143.5
135,Rashaad Penny,RB,141.4
136,Josh Allen,QB,141.3
137,Ronald Jones,RB,141.2
138,Matt Bryant,K,140.3
139,Matt Prater,K,139.6
140,Justin Tucker,K,138.1
141,DeSean Jackson,WR,137.9
142,Chris Carson,RB,137.4
143,Anthony Miller,WR,137.3
144,Chris Godwin,WR,136.5
145,Charles Clay,TE,135.8
146,Robbie Gould,K,135.6
147,Harrison Butker,K,134.6
148,Theo Riddick,RB,134.4
149,Ty Montgomery,RB,134.2
150,Jake Elliott,K,133.5
151,Jamaal Williams,RB,132.1
152,Calvin Ridley,WR,132.0
153,Graham Gano,K,131.7
154,Trey Burton,TE,131.1
155,Wil Lutz,K,131.0
156,Josh Rosen,QB,129.0
157,Ryan Grant,WR,128.5
158,David Njoku,TE,127.8
159,Daniel Carlson,K,127.6
160,Ted Ginn Jr.,WR,127.5
161,Adam Vinatieri,K,126.9
162,Donte Moncrief,WR,126.8
163,Peyton Barber,RB,126.7
164,Ryan Succop,K,125.9
165,Giovani Bernard,RB,124.4
166,George Kittle,TE,123.8
167,Jared Cook,TE,123.2
168,Mason Crosby,K,123.1
169,Vance McDonald,TE,122.8
170,Cole Beasley,WR,122.8
171,Josh Lambo,K,122.7
172,Dustin Hopkins,K,122.6
173,Chandler Catanzaro,K,122.6
174,DJ Moore,WR,122.6
175,Austin Seferian-Jenkins,TE,122.3
176,Jaguars D/ST D/ST,D/ST,122.2
177,Benjamin Watson,TE,121.7
178,Eddy Pineiro,K,121.4
179,Eric Ebron,TE,121.0
180,Courtland Sutton,WR,120.7
181,Tyrell Williams,WR,120.3
182,Willie Snead,WR,119.7
183,Sebastian Janikowski,K,119.6
184,Austin Hooper,TE,119.3
185,John Brown,WR,118.7
186,Mike Williams,WR,118.4
187,Caleb Sturgis,K,118.3
188,Dan Bailey,K,117.9
189,Cody Parkey,K,116.8
190,Tyler Eifert,TE,116.8
191,Mike Wallace,WR,116.4
192,Stephen Hauschka,K,116.3
193,Zane Gonzalez,K,116.0
194,Quincy Enunwa,WR,115.8
195,Aldrick Rosas,K,115.6
196,Cameron Brate,TE,115.3
197,James Washington,WR,115.3
198,Randy Bullock,K,115.0
199,Ricky Seals-Jones,TE,115.0
200,Sony Michel,RB,114.8
201,Eagles D/ST D/ST,D/ST,113.9
202,Brandon McManus,K,113.8
203,Taywan Taylor,WR,113.7
204,Dede Westbrook,WR,113.6
205,Mike Gesicki,TE,113.4
206,Bilal Powell,RB,113.1
207,Ka'imi Fairbairn,K,112.9
208,Albert Wilson,WR,112.1
209,Phil Dawson,K,112.1
210,Michael Gallup,WR,111.7
211,Javorius Allen,RB,111.6
212,Terrance Williams,WR,110.8
213,Adrian Peterson,RB,109.7
214,Titans D/ST D/ST,D/ST,109.3
215,Ravens D/ST D/ST,D/ST,108.9
216,Jason Sanders,K,108.6
217,Rams D/ST D/ST,D/ST,108.4
218,Patriots D/ST D/ST,D/ST,107.6
219,Christian Kirk,WR,107.4
220,Devontae Booker,RB,107.0
221,Vikings D/ST D/ST,D/ST,106.8
222,Texans D/ST D/ST,D/ST,106.7
223,Travis Benjamin,WR,106.5
224,Sam Bradford,QB,106.4
225,O.J. Howard,TE,105.1
226,Latavius Murray,RB,105.0
227,Jason Myers,K,104.9
228,Jermaine Kearse,WR,104.9
229,Cardinals D/ST D/ST,D/ST,103.6
230,Broncos D/ST D/ST,D/ST,103.5
231,Chargers D/ST D/ST,D/ST,103.3
232,Matt Breida,RB,103.0
233,Brandon Marshall,WR,102.9
234,Kenneth Dixon,RB,102.0
235,Corey Clement,RB,101.7
236,Austin Ekeler,RB,99.0
237,Martavis Bryant,WR,98.6
238,T.J. Yeldon,RB,97.2
239,Doug Martin,RB,97.0
240,Panthers D/ST D/ST,D/ST,96.8
241,C.J. Anderson,RB,95.9
242,Tyler Boyd,WR,94.8
243,Darren Sproles,RB,94.3
244,Adam Humphries,WR,94.0
245,Ryan Switzer,WR,93.3
246,Ryan Griffin,TE,93.3
247,Hayden Hurst*,TE,93.2
248,Lions D/ST D/ST,D/ST,92.4
249,Frank Gore,RB,92.4
250,Taylor Gabriel,WR,92.3
251,Steelers D/ST D/ST,D/ST,91.8
252,Aaron Jones,RB,91.5
253,Elijah McGuire*,RB,90.5
254,Nyheim Hines,RB,90.0
255,Bears D/ST D/ST,D/ST,89.4
256,Redskins D/ST D/ST,D/ST,89.4
257,Corey Coleman,WR,87.2
258,Packers D/ST D/ST,D/ST,86.9
259,Bills D/ST D/ST,D/ST,86.4
260,Trent Taylor,WR,86.3
261,Terrelle Pryor,WR,85.8
262,Cowboys D/ST D/ST,D/ST,85.7
263,Saints D/ST D/ST,D/ST,85.3
264,Dolphins D/ST D/ST,D/ST,84.8
265,Jordan Wilkins,RB,84.6
266,Buccaneers D/ST D/ST,D/ST,84.1
267,Falcons D/ST D/ST,D/ST,83.1
268,Kyle Juszczyk,RB,82.7
269,LeGarrette Blount,RB,82.7
270,Virgil Green,TE,81.6
271,Curtis Samuel,WR,81.6
272,Chiefs D/ST D/ST,D/ST,81.2
273,Raiders D/ST D/ST,D/ST,80.8
274,Luke Willson,TE,80.4
275,D.J. Chark,WR,80.0
276,Browns D/ST D/ST,D/ST,78.1
277,Bengals D/ST D/ST,D/ST,77.3
278,Seahawks D/ST D/ST,D/ST,76.8
279,J.J. Nelson,WR,76.7
280,Blake Jarwin,TE,76.7
281,Geronimo Allison,WR,76.4
282,Gerald Everett,TE,74.8
283,Phillip Dorsett,WR,74.1
284,Chris Ivory,RB,74.1
285,Antonio Callaway,WR,72.5
286,Jeremy Kerley,WR,72.5
287,Giants D/ST D/ST,D/ST,72.4
288,Colts D/ST D/ST,D/ST,72.4
289,Chester Rogers,WR,72.3
290,Laquon Treadwell,WR,71.6
291,D'Onta Foreman*,RB,71.5
292,Tavon Austin,RB,70.4
293,Vernon Davis,TE,70.1
294,Brice Butler,WR,69.8
295,49ers D/ST D/ST,D/ST,69.5
296,Jets D/ST D/ST,D/ST,69.2
297,Jake Butt,TE,67.9
298,Cody Latimer,WR,66.8
299,Keke Coutee,WR,65.8
300,Ed Dickson*,TE,65.7
301,Cordarrelle Patterson,WR,64.3
302,Jeremy Hill,RB,63.9
303,Phillip Lindsay,RB,63.6
304,Jonathan Stewart,RB,61.9
305,Tyler Higbee,TE,61.7
306,Dallas Goedert,TE,61.1
307,Alfred Blue,RB,60.6
308,Chris Herndon,TE,60.3
309,Zay Jones,WR,59.8
310,Braedon Bowman,TE,59.5
311,Adam Shaheen,TE,59.3
312,Michael Roberts,TE,59.2
313,Chase Edmonds,RB,58.6
314,Jermaine Gresham*,TE,57.1
315,Corey Grant,RB,57.1
316,Daurice Fountain,WR,56.6
317,John Kelly,RB,56.1
318,Mark Andrews,TE,56.0
319,Tyler Kroft,TE,55.7
320,Nick Chubb,RB,54.7
321,AJ McCarron,QB,54.4
322,Garrett Celek,TE,53.2
323,Nick Vannett,TE,51.9
324,Spencer Ware,RB,51.6
325,Jesse James,TE,50.7
326,Rob Kelley,RB,50.4
327,Ryan Fitzpatrick,QB,49.5
328,Jacquizz Rodgers,RB,49.5
329,Jeff Heuerman,TE,48.7
330,Dante Pettis,WR,47.5
331,Amara Darboh,WR,47.4
332,Chad Williams,WR,47.3
333,Travaris Cadet,RB,45.6
334,Wayne Gallman,RB,45.3
335,DaeSean Hamilton,WR,45.1
336,Jacob Hollister,TE,44.9
337,Kendall Wright,WR,44.8
338,Baker Mayfield,QB,44.7
339,DeAndre Washington,RB,44.3
340,C.J. Prosise,RB,44.2
341,Samaje Perine,RB,43.1
342,Jonnu Smith,TE,42.2
343,Chris Conley,WR,42.0
344,Torrey Smith,WR,41.8
345,Jaron Brown,WR,41.0
346,Jordan Akins,TE,40.2
347,Demetrius Harris,TE,39.9
348,Mack Hollins,WR,38.5
349,Chris Moore,WR,38.1
350,TJ Jones,WR,37.5
351,Joe Williams*,RB,37.2
352,Jalen Richard,RB,37.1
353,Braxton Miller,WR,36.2
354,J'Mon Moore,WR,36.1
355,Jonathan Williams,RB,35.0
356,Jordan Leggett,TE,34.5
357,Rico Gathers,TE,34.1
358,Nick O'Leary,TE,33.8
359,Rashard Higgins,WR,33.1
360,James Conner,RB,32.8
361,Kalen Ballage,RB,32.1
362,T.J. Logan,RB,32.0
363,Josh Reynolds,WR,31.7
364,Jakeem Grant,WR,31.3
365,Damien Williams,RB,30.6
366,Rod Smith,RB,30.4
367,Tre'Quan Smith,WR,29.9
368,Sean Culkin,TE,29.8
369,Lee Smith,TE,29.5
370,Nick Boyle,TE,29.3
371,Rhett Ellison,TE,28.5
372,Lamar Jackson,QB,27.5
373,Roger Lewis,WR,27.3
374,Kevin White,WR,27.3
375,Marquez Valdes-Scantling,WR,27.1
376,Stephen Anderson,TE,26.9
377,Seth DeValve,TE,26.7
378,Stacy Coley,WR,26.7
379,Robert Turbin,RB,26.4
380,Josh Malone,WR,26.2
381,Josh Hill,TE,25.7
382,Marcedes Lewis,TE,24.9
383,David Morgan,TE,24.1
384,Tre McBride,WR,23.9
385,Benny Cunningham,RB,22.9
386,Tyler Ervin,WR,22.1
387,Will Dissly,TE,21.6
388,Braxton Berrios,WR,21.4
389,Geoff Swaim,TE,21.3
390,Jaylen Samuels,RB,20.7
391,Nick Foles,QB,20.4
392,Aaron Ripkowski,RB,20.3
393,Tajae Sharpe,WR,20.3
394,Justin Hardy,WR,20.3
395,Levine Toilolo,TE,19.9
396,Kendrick Bourne,WR,19.9
397,Troy Fumagalli,TE,19.4
398,A.J. Derby,TE,19.3
399,Andre Holmes,WR,19.3
400,Ito Smith,RB,19.1
401,James Wright,WR,18.8
402,Logan Paulsen,TE,18.8
403,Justin Jackson,RB,18.8
404,Jaydon Mickens,WR,18.1
405,Jarius Wright,WR,18.0
406,Clive Walford,TE,17.8
407,Niles Paul,TE,17.7
408,Mark Walton,RB,17.3
409,Chad Hansen,WR,17.0
410,Christine Michael,RB,16.9
411,Jordan Lasley,WR,16.8
412,Patrick DiMarco,RB,16.7
413,Demarcus Robinson,WR,16.4
414,Deonte Thompson,WR,16.3
415,Logan Thomas,TE,16.1
416,Marcus Johnson,WR,15.8
417,Josh McCown,QB,15.3
418,Tommy Bohanon,RB,15.0
419,Kenjon Barner,RB,14.9
420,Dion Sims,TE,14.3
421,Durham Smythe,TE,14.1
422,Tommylee Lewis,WR,14.1
423,Russell Shepard,WR,14.0
424,Andy Janovich,RB,14.0
425,Justin Hunter,WR,13.8
426,Joshua Bellamy,WR,13.5
427,De'Angelo Henderson,RB,13.0
428,Ian Thomas,TE,12.9
429,Keith Smith,RB,12.7
430,J.D. McKissic*,RB,12.5
431,Zach Line,RB,12.1
432,Eli Rogers*,WR,12.0
433,Malcolm Brown,RB,11.8
434,Pharoh Cooper,WR,11.6
435,Darrius Heyward-Bey,WR,11.6
436,Jamize Olawale,RB,11.2
437,Michael Burton,RB,11.2
438,Erik Swoope,TE,11.1
439,De'Anthony Thomas,WR,10.7
440,Dwayne Allen,TE,10.5
441,Michael Hoomanawanui,TE,10.4
442,Anthony Sherman,RB,10.4
443,Bruce Ellington,WR,10.2
444,Ameer Abdullah,RB,10.2
445,ArDarius Stewart,WR,10.1
446,James Develin,RB,9.9
447,Jerell Adams,TE,9.9
448,Jordan Taylor*,WR,9.9
449,Cole Hikutini,TE,9.9
450,Richard Rodgers,TE,9.8
451,Tyler Conklin,TE,9.7
452,Marvin Hall,WR,9.7
453,Derek Carrier,TE,9.7
454,Lance Kendricks,TE,9.5
455,Eric Saubert,TE,9.4
456,Shaun Wilson,RB,9.3
457,Marcell Ateman,WR,9.1
458,C.J. Uzomah,TE,9.1
459,Dylan Cantrell,WR,9.1
460,Josh Adams,RB,9.1
461,Andy Jones*,WR,9.1
462,Equanimeous St. Brown,WR,9.0
463,Markus Wheaton,WR,9.0
464,Trevor Davis,WR,8.9
465,Trey Quinn,WR,8.7
466,Eric Tomlinson,TE,8.6
467,Rashad Greene,WR,8.6
468,James O'Shaughnessy,TE,8.5
469,Dalton Schultz,TE,8.5
470,Breshad Perriman,WR,8.4
471,Chris Warren,RB,8.4
472,Jay Prosch,RB,8.2
473,Alex Erickson,WR,8.2
474,Ray-Ray McCloud III,WR,8.0
475,Derek Watt,RB,8.0
476,Roosevelt Nix,RB,7.6
477,Jacoby Brissett,QB,7.6
478,Mack Brown,RB,7.6
479,Michael Campanaro*,WR,7.5
480,Davis Webb,QB,7.4
481,Mason Rudolph,QB,7.2
482,Akrum Wadley,RB,7.0
483,Trenton Cannon,RB,6.9
484,Elijhaa Penny,RB,6.2
485,Teddy Bridgewater,QB,6.2
486,Boston Scott,RB,6.2
487,Jace Amaro,TE,6.2
488,Alan Cross,TE,5.8
489,C.J. Ham,RB,5.8
490,Ryan Izzo,TE,5.3
491,Bo Scarbrough,RB,5.3
492,Darrell Daniels,TE,5.1
493,Cameron Artis-Payne,RB,5.1
494,Cobi Hamilton,WR,5.1
495,Xavier Grimble,TE,5.1
496,Alfred Morris,RB,4.9
497,MarQueis Gray,TE,4.7
498,Tavarres King,WR,4.7
499,Maurice Harris,WR,4.7
500,Jeremy Sprinkle,TE,4.7
501,Shane Vereen,RB,4.6
502,Darren Fells,TE,4.6
503,Temarrick Hemingway,TE,4.5
504,Shelton Gibson,WR,4.5
505,Jordan Thomas,TE,4.5
506,Justin Watson,WR,4.5
507,Travis Rudolph,WR,4.4
508,Chris Manhertz*,TE,4.3
509,Ben Koyack,TE,4.3
510,Mike Thomas,WR,4.2
511,Ryan Hewitt,RB,4.2
512,Luke Stocker,TE,4.2
513,Danny Vitale,RB,4.0
514,Damion Ratley,WR,4.0
515,Tre Madden,RB,4.0
516,Noah Brown,WR,3.9
517,Damiere Byrd,WR,3.9
518,Jehu Chesson,WR,3.9
519,Antony Auclair,TE,3.9
520,Troymaine Pope,RB,3.9
521,Devante Mays,RB,3.7
522,Riley McCarron,WR,3.6
523,Andre Roberts,WR,3.6
524,Auden Tate,WR,3.3
525,Charcandrick West,RB,3.1
526,Derrick Coleman,RB,3.0
527,Byron Marshall,RB,2.3
528,Taiwan Jones,RB,2.3
529,Maxx Williams,TE,2.2
530,Kerwynn Williams,RB,2.1
531,Kalif Raymond,WR,1.6
532,Fitzgerald Toussaint,RB,1.4
533,Brett Hundley,QB,1.3
534,Brian Hoyer,QB,1.3
535,Dwayne Harris,WR,1.3
536,Isaiah McKenzie,WR,1.2
537,David Fluellen,RB,1.2
538,Matt Cassel,QB,1.2
539,Chad Henne,QB,1.2
540,EJ Manuel,QB,1.2
541,Trevor Siemian,QB,1.2
542,Geno Smith,QB,1.2
543,Brandon Weeden,QB,1.2
544,Sean Mannion,QB,1.2
545,Chase Daniel,QB,1.2
546,Austin Davis,QB,1.1
547,Colt McCoy,QB,1.1
548,Matt Barkley,QB,1.1
549,Matt Schaub,QB,1.1
550,Roc Thomas,RB,1.1
551,C.J. Beathard,QB,1.1
552,Blaine Gabbert,QB,1.1
553,Tom Savage,QB,1.1
554,Brock Osweiler,QB,1.1
555,Chad Kelly,QB,1.1
556,Cody Kessler,QB,1.0
557,Mike White,QB,1.0
558,Tim Wright,TE,0.8
559,Nathan Peterman,QB,0.7
560,Kaelin Clay,WR,0.5
561,Victor Bolden Jr.,WR,0.2
562,Ryan Griffin,QB,0.2
563,Wendell Smallwood,RB,0.2
564,Matthew Dayes,RB,0.1
565,Shaun Hill,QB,0.0
566,Carson Palmer,QB,0.0
567,Anquan Boldin,WR,0.0
568,Jason Witten,TE,0.0
569,Antonio Gates,TE,0.0
570,Mike Nugent,K,0.0
571,Derek Anderson,QB,0.0
572,Nick Novak,K,0.0
573,John Kuhn,RB,0.0
574,Jay Cutler,QB,0.0
575,DeAngelo Williams,RB,0.0
576,Kellen Clemens,QB,0.0
577,Anthony Fasano,TE,0.0
578,Devin Hester,WR,0.0
579,Charlie Whitehurst,QB,0.0
580,Calvin Johnson,WR,0.0
581,Drew Stanton,QB,0.0
582,Brent Celek,TE,0.0
583,Nick Folk,K,0.0
584,Eric Weems,WR,0.0
585,Matt Moore,QB,0.0
586,Darren McFadden,RB,0.0
587,Chris Johnson,RB,0.0
588,Eddie Royal,WR,0.0
589,Matt Forte,RB,0.0
590,Martellus Bennett,TE,0.0
591,Jamaal Charles,RB,0.0
592,Harry Douglas,WR,0.0
593,Gary Barnidge,TE,0.0
594,Jerome Felton,RB,0.0
595,Tim Hightower,RB,0.0
596,Matthew Slater,WR,0.0
597,Kellen Davis,TE,0.0
598,Josh Johnson,QB,0.0
599,Justin Forsett,RB,0.0
